apply	owner	offset	offset_hex	count	element_size	total_size	element_type	proposed_type	proposed_name	bounded_sites	exact_loops	pointer_dereferences	confidence	reason	evidence_functions	evidence_sites
1	AiEventClassTy	1327	0x52F	33	4	132	/uint	array:33:/uint	array_052F	0	1	0	high	fixed member array from machine evidence: counts=[33], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	0064CC90 | 00652810	0064CCE3 exact zero span bytes=132 | 00652DAB MOV dword ptr [ESI + EDX*0x4 + 0x52f],ECX | 00652DC3 ADD dword ptr [ESI + EAX*0x4 + 0x52f],ECX | 00652DDB SUB dword ptr [ESI + EAX*0x4 + 0x52f],EDX | 00652DED MOV ECX,dword ptr [ESI + EAX*0x4 + 0x52f] | 00652DFB MOV dword ptr [ESI + EAX*0x4 + 0x52f],ECX | 00652E2D MOV EAX,dword ptr [ESI + ECX*0x4 + 0x52f] | 00652E37 MOV dword ptr [ESI + ECX*0x4 + 0x52f],EAX | 00652E69 MOV EAX,dword ptr [ESI + ECX*0x4 + 0x52f] | 00652E73 MOV dword ptr [ESI + ECX*0x4 + 0x52f],EDX | 00653338 MOV dword ptr [ESI + ECX*0x4 + 0x52f],EAX | exact zero-init extent supplies count=33 for independently indexed stride=4
1	CPanelTy	328	0x148	11	4	44	pointer:/ushort	array:11:pointer:/ushort	array_0148	0	1	1	high	fixed member array from machine evidence: counts=[11], bounded_sites=0, exact_loops=1, pointer_dereferences=1, element_candidates=[pointer:/ushort], exact_pointer_candidates=[]	004F3540 | 004F37C0 | 004F3A30 | 004F3CF0 | 004F3FE0 | 004F42A0 | 004F5690 | 004F7800 | 004F80A0 | 005007A0 | 00500BD0 | 00504210	004F3678 MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F38EF MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F3BA3 MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F3E7F MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F415A MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F4422 MOV EAX,dword ptr [EDI + ESI*0x4 + 0x148] | 004F689F LEA EDI,[ESI + EAX*0x4 + 0x148] | 004F7A22 exact pointer walk count=11, stride=4, cursor_displacement=0 | 004F81C8 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F82AC MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F838E MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F8411 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F8515 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F85A7 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 004F85E1 element pointee width=2: CMP DX,word ptr [ECX] | 004F8612 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 0050095B MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 00500E00 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 00500E73 MOV ECX,dword ptr [ESI + EAX*0x4 + 0x148] | 00504364 MOV ECX,dword ptr [EBX + EAX*0x4 + 0x148]
1	CPanelTy	535	0x217	4	4	16	pointer:/void	array:4:pointer:/void	array_0217	0	1	0	high	fixed member array from machine evidence: counts=[4], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[pointer:/void], exact_pointer_candidates=[]	004F7800	004F784D exact pointer walk count=4, stride=4, cursor_displacement=0
1	CPanelTy	551	0x227	4	4	16	pointer:/void	array:4:pointer:/void	array_0227	0	1	0	high	fixed member array from machine evidence: counts=[4], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[pointer:/void], exact_pointer_candidates=[]	004F7800	004F7B2F exact pointer walk count=4, stride=4, cursor_displacement=0
1	CPanelTy	676	0x2A4	2	4	8	pointer:/ushort	array:2:pointer:/ushort	array_02A4	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[pointer:/ushort], exact_pointer_candidates=[pointer:/ushort]	004F9ED0 | 004FB060	004FA06B exact pointer walk count=2, stride=4, cursor_displacement=-72 | 004FB4B7 exact pointer walk count=2, stride=4, cursor_displacement=-72
1	CPanelTy	738	0x2E2	2	4	8	pointer:/ushort	array:2:pointer:/ushort	array_02E2	0	2	4	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=4, element_candidates=[pointer:/ushort], exact_pointer_candidates=[pointer:/ushort]	004F80A0 | 004F9ED0 | 004FB060	004F814C MOV EDX,dword ptr [ESI + EDI*0x4 + 0x2e2] | 004F8158 element pointee width=2: CMP CX,word ptr [EDX] | 004F8158 loaded element dereferenced with width=2: CMP CX,word ptr [EDX] | 004F8243 MOV dword ptr [ESI + EDI*0x4 + 0x2e2],EAX | 004F8322 LEA ECX,[ESI + EDI*0x4 + 0x2e2] | 004F83DA MOV EDX,dword ptr [ESI + EDI*0x4 + 0x2e2] | 004F83E5 element pointee width=2: CMP CX,word ptr [EDX] | 004F83E5 loaded element dereferenced with width=2: CMP CX,word ptr [EDX] | 004FA071 exact pointer walk count=2, stride=4, cursor_displacement=-12 | 004FB4BD exact pointer walk count=2, stride=4, cursor_displacement=-12
0	CPanelTy	748	0x2EC	2	4	8	/uint	array:2:/uint	array_02EC	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]; overlaps_array_0x2EE	004F9ED0 | 004FB060	004FA06B exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FB4B7 exact pointer walk count=2, stride=4, cursor_displacement=0
0	CPanelTy	750	0x2EE	2	4	8	/uint	array:2:/uint	array_02EE	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]; overlaps_array_0x2EC	004F80A0 | 004F9ED0 | 004FB060	004F810F MOV EBX,dword ptr [ESI + EDI*0x4 + 0x2ee] | 004F812A MOV dword ptr [ESI + EDI*0x4 + 0x2ee],EAX | 004F81DF MOV EBX,dword ptr [ESI + EDI*0x4 + 0x2ee] | 004F81FA MOV dword ptr [ESI + EDI*0x4 + 0x2ee],EAX | 004F82F5 MOV EBX,dword ptr [ESI + EDI*0x4 + 0x2ee] | 004F8310 MOV dword ptr [ESI + EDI*0x4 + 0x2ee],EAX | 004F83AF MOV EBX,dword ptr [ESI + EDI*0x4 + 0x2ee] | 004F83BF MOV dword ptr [ESI + EDI*0x4 + 0x2ee],EAX | 004FA071 exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FB4BD exact pointer walk count=2, stride=4, cursor_displacement=0
1	CPanelTy	776	0x308	2	4	8	/uint	array:2:/uint	array_0308	0	1	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA570	004F78B2 exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FA716 MOV EAX,dword ptr [ESI + EDI*0x4 + 0x308]
1	CPanelTy	784	0x310	3	4	12	/uint	array:3:/uint	array_0310	0	1	0	high	fixed member array from machine evidence: counts=[3], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA570	004F78EF exact pointer walk count=3, stride=4, cursor_displacement=0 | 004FA72F MOV EAX,dword ptr [ESI + EDI*0x4 + 0x310]
1	CPanelTy	2400	0x960	4	4	16	/uint	array:4:/uint	array_0960	0	4	0	high	fixed member array from machine evidence: counts=[4], bounded_sites=0, exact_loops=4, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA570 | 00502360 | 00503450	004F79E7 exact pointer walk count=4, stride=4, cursor_displacement=0 | 004FA630 exact pointer walk count=4, stride=4, cursor_displacement=0 | 005023E8 exact pointer walk count=4, stride=4, cursor_displacement=0 | 005034D8 exact pointer walk count=4, stride=4, cursor_displacement=0
1	CPanelTy	2420	0x974	8	4	32	/uint	array:8:/uint	array_0974	0	1	0	high	fixed member array from machine evidence: counts=[8], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800	004F7B8D exact pointer walk count=8, stride=4, cursor_displacement=0
1	CPanelTy	2468	0x9A4	7	4	28	/uint	array:7:/uint	array_09A4	0	2	0	high	fixed member array from machine evidence: counts=[7], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA400	004F7932 exact pointer walk count=7, stride=4, cursor_displacement=0 | 004FA469 exact pointer walk count=7, stride=4, cursor_displacement=0
1	CPanelTy	2496	0x9C0	2	4	8	/uint	array:2:/uint	array_09C0	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA400 | 004FA570	004F7958 exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FA48E exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FA6E4 MOV EAX,dword ptr [ESI + EDI*0x4 + 0x9c0]
1	CPanelTy	2504	0x9C8	2	4	8	pointer:/ushort	array:2:pointer:/ushort	array_09C8	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint, pointer:/ushort], exact_pointer_candidates=[pointer:/ushort]	004F5690 | 004F7800	004F60E0 exact pointer walk count=2, stride=4, cursor_displacement=-1015 | 004F7B5D exact pointer walk count=2, stride=4, cursor_displacement=-1015
1	CPanelTy	2521	0x9D9	15	4	60	/uint	array:15:/uint	array_09D9	0	1	0	high	fixed member array from machine evidence: counts=[15], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800	004F7ADD exact pointer walk count=15, stride=4, cursor_displacement=0
1	CPanelTy	2581	0xA15	6	4	24	/uint	array:6:/uint	array_0A15	0	4	0	high	fixed member array from machine evidence: counts=[6], bounded_sites=0, exact_loops=4, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA570 | 005097E0 | 0050E7D0	004F797E exact pointer walk count=6, stride=4, cursor_displacement=0 | 004FA679 exact pointer walk count=6, stride=4, cursor_displacement=0 | 005098B9 exact pointer walk count=6, stride=4, cursor_displacement=0 | 0050E8A4 exact pointer walk count=6, stride=4, cursor_displacement=0
1	CPanelTy	2847	0xB1F	6	4	24	/uint	array:6:/uint	array_0B1F	0	3	0	high	fixed member array from machine evidence: counts=[6], bounded_sites=0, exact_loops=3, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F7800 | 004FA570 | 0050E7D0	004F79A4 exact pointer walk count=6, stride=4, cursor_displacement=0 | 004FA69E exact pointer walk count=6, stride=4, cursor_displacement=0 | 0050E8CA exact pointer walk count=6, stride=4, cursor_displacement=0
1	CPanelTy	3339	0xD0B	2	4	8	pointer:/ushort	array:2:pointer:/ushort	array_0D0B	0	3	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=3, pointer_dereferences=0, element_candidates=[pointer:/ushort], exact_pointer_candidates=[pointer:/ushort]	004F5690 | 004F9ED0 | 004FB060	004F66CF exact pointer walk count=2, stride=4, cursor_displacement=-72 | 004FA0C2 exact pointer walk count=2, stride=4, cursor_displacement=-72 | 004FB50F exact pointer walk count=2, stride=4, cursor_displacement=-72
1	CPanelTy	3411	0xD53	2	4	8	/uint	array:2:/uint	array_0D53	0	3	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=3, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F5690 | 004F9ED0 | 004FB060	004F66CF exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FA0C2 exact pointer walk count=2, stride=4, cursor_displacement=0 | 004FB50F exact pointer walk count=2, stride=4, cursor_displacement=0
1	CPanelTy	3459	0xD83	2	4	8	/uint	array:2:/uint	array_0D83	0	1	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F5690	004F66CF exact pointer walk count=2, stride=4, cursor_displacement=48
1	CPanelTy	3511	0xDB7	2	4	8	pointer:/ushort	array:2:pointer:/ushort	array_0DB7	0	1	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=1, pointer_dereferences=0, element_candidates=[pointer:/ushort], exact_pointer_candidates=[pointer:/ushort]	004F5690 | 0052AFE0	004F60E0 exact pointer walk count=2, stride=4, cursor_displacement=-8 | 0052B126 LEA ECX,[ESI + EAX*0x4 + 0xdb7]
1	CPanelTy	3519	0xDBF	2	4	8	/uint	array:2:/uint	array_0DBF	0	2	0	high	fixed member array from machine evidence: counts=[2], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	004F5690 | 004F7800	004F60E0 exact pointer walk count=2, stride=4, cursor_displacement=0 | 004F7B5D exact pointer walk count=2, stride=4, cursor_displacement=0
1	CampaignTy	102	0x66	13	4	52	/uint	array:13:/uint	array_0066	0	2	0	high	fixed member array from machine evidence: counts=[13], bounded_sites=0, exact_loops=2, pointer_dereferences=0, element_candidates=[/uint], exact_pointer_candidates=[]	005925A0 | 00592620	005925B9 exact pointer walk count=13, stride=4, cursor_displacement=0 | 00592639 exact pointer walk count=13, stride=4, cursor_displacement=0
