apply	domain	locator	symbol	current_type	candidate_type	current_source	status	confidence	evidence	reason	source_report
0	class_field	CPanelTy+0xB99	field_0B99	/SubmarineTitans/Recovered/Enums/CPanelTy_field_0B99State	pointer:/byte	STRUCTURE_COMPONENT	review	existing	pointer:/byte <= 00501628 dynamic 1-byte dereference of field-derived address in CPanelTy::PaintCtrlBoat; 00501795 dynamic 1-byte dereference of field-derived address in CPanelTy::PaintCtrlBoat; 00501B46 dynamic 1-byte dereference of field-derived address in CPanelTy::sub_00501A10; 00501BC0 dynamic 1-byte dereference of field-derived address in CPanelTy::sub_00501A10; 00502B04 dynamic 1-byte dereference of field-derived address in CPanelTy::PaintCtrlBoatSI; 00502B66 dynamic 1-byte dereference of field-derived address in CPanelTy::PaintCtrlBoatSI	consistent_this_relative_access; existing_concrete_type_preserved=/SubmarineTitans/Recovered/Enums/CPanelTy_field_0B99State; rejected_inference=pointer:/byte; typed_cross_class_recovery=27	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x1C7	field_01C7	/undefined4	pointer:/byte	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01C7 <= consistent nested dereferences through [this+0x1C7] | pointer:/byte <= 00510F4B dynamic 1-byte dereference of field-derived address in HelpPanelTy::InitHelpPanel; 00510F80 dynamic 1-byte dereference of field-derived address in HelpPanelTy::InitHelpPanel; 00510FC4 dynamic 1-byte dereference of field-derived address in HelpPanelTy::InitHelpPanel; 00513716 dynamic 1-byte dereference of field-derived address in HelpPanelTy::HomeBut; 00514BF4 dynamic 1-byte dereference of field-derived address in HelpPanelTy::sub_00514BC0	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01C7|pointer:/byte; typed_cross_class_recovery=18	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x224	field_0224	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00516480 [this+0x224] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 005111C7 generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=3	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x22C	field_022C	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00516480 [this+0x22C] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 00511248 generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=3	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x230	field_0230	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00516A40 [this+0x230] passed to FUN_0070b3a0 parameter param_1; 00518C20 [this+0x230] passed to FUN_0070b3a0 parameter param_1; 0051A100 [this+0x230] passed to FUN_0070b3a0 parameter param_1; 0051B5A0 [this+0x230] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 005111EA generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=6	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x238	field_0238	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00516A40 [this+0x238] passed to FUN_0070b3a0 parameter param_1; 00518C20 [this+0x238] passed to FUN_0070b3a0 parameter param_1; 0051A100 [this+0x238] passed to FUN_0070b3a0 parameter param_1; 0051B5A0 [this+0x238] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 0051126B generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=12	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x244	field_0244	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00515900 [this+0x244] passed to FUN_0070b3a0 parameter param_1; 0051B5A0 [this+0x244] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 005112ED generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=4	class_field_proposals.tsv
0	class_field	HelpPanelTy+0x248	field_0248	/undefined4	pointer:/ushort	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD <= 00515650 [this+0x248] passed to FUN_0070b3a0 parameter param_1; 00516480 [this+0x248] passed to FUN_0070b3a0 parameter param_1; 00516A40 [this+0x248] passed to FUN_0070b3a0 parameter param_1; 00517A50 [this+0x248] passed to FUN_0070b3a0 parameter param_1 | pointer:/ushort <= 00511288 generic pointer-return assignment in HelpPanelTy::InitHelpPanel	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_0081175C_57F682DD|pointer:/ushort; typed_cross_class_recovery=13	class_field_proposals.tsv
0	class_field	PrividerTy+0x1C92	field_1C92	pointer:/uint	pointer:/SubmarineTitans/Recovered/DArrayTy	STRUCTURE_COMPONENT	review	existing	pointer:/SubmarineTitans/Recovered/DArrayTy <= 005B9B89 generic pointer-return assignment in PrividerTy::InitPrivider; 005BA560 [this+0x1C92] passed to FUN_006b5570 parameter param_1	consistent_this_relative_access; existing_concrete_type_preserved=pointer:/uint; rejected_inference=pointer:/SubmarineTitans/Recovered/DArrayTy; typed_cross_class_recovery=5	class_field_proposals.tsv
0	class_field	ST3DSMAPContext+0x0	field_0000	/undefined4	pointer:/int	STRUCTURE_COMPONENT	likely_stale	high	pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0000 <= consistent nested dereferences through [this+0x0] | pointer:/int <= 006E858A generic pointer-return assignment in ST3DSMAPContext::sub_006E8580	consistent_this_relative_access; inferred_type_conflict=pointer:/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0000|pointer:/int; typed_cross_class_recovery=7	class_field_proposals.tsv
