apply	kind	owner	owner_type_path	offset	offset_hex	size	proposed_type	proposed_name	evidence_function	evidence_sites	confidence	reason
0	zero_span	AiBossClassTy	/AiBossClassTy	1491	0x5D3	132			00647AD0	00647B00 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	AiBossClassTy	/AiBossClassTy	1623	0x657	1			00647AD0	00647B02 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	AiEventClassTy	/AiEventClassTy	1327	0x52F	132			0064CC90	0064CCE3 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
1	nested_struct	CGenerate	/CGenerate	28	0x1C	560	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006952B0_7A982E30	aggregate_001C	006952B0	006952DB	high	exact REP MOVS source span=560, source_length=560
0	zero_span	CPanelTy	/CPanelTy	24	0x18	32			004FA570	004FA5C0 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	CPanelTy	/CPanelTy	1076	0x434	280			00501A10	00501A24 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	CPanelTy	/CPanelTy	1356	0x54C	280			00506040	00506051 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	ComboTy	/ComboTy	24	0x18	32			005943F0	00594401 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	HelpPanelTy	/HelpPanelTy	24	0x18	32			00511C70	00511C99 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	HelpPanelTy	/HelpPanelTy	384	0x180	28			00510C80	00510D2A STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	HelpPanelTy	/HelpPanelTy	496	0x1F0	40			00510C80	00510D17 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	JumpManagC	/JumpManagC	28	0x1C	80			00617840	00617859 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	MAdvTy	/MAdvTy	24	0x18	32			00590860	00590871 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	MTestTy	/MTestTy	97	0x61	32			005E5F60	005E5F71 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	MainMenuTy	/MainMenuTy	193	0xC1	32			005B3D60	005B3D9E STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	OptPanelTy	/OptPanelTy	24	0x18	32			0052F900	0052F929 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	PausePanelTy	/PausePanelTy	24	0x18	32			005396E0	00539708 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	PlayPanelTy	/PlayPanelTy	24	0x18	32			0053A540	0053A555 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	PlayPanelTy	/PlayPanelTy	24	0x18	32			0053AA50	0053AA79 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	ProdPanelTy	/ProdPanelTy	24	0x18	32			0053F780	0053F7A9 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STAppC	/STAppC	4502	0x1196	6552			0056A5F0	0056A77B STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STAppC	/STAppC	9024	0x2340	32			0056EBE0	0056EC89 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STAppC	/STAppC	11054	0x2B2E	1			0056A5F0	0056A77D STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STAppC	/STAppC	19875	0x4DA3	260			0056A5F0	0056A78B STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBHEShellC	/STBHEShellC	77	0x4D	296			005F3440	005F3459 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	561	0x231	140			0044E690	0044E6C1 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	701	0x2BD	1			0044E690	0044E6C5 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	704	0x2C0	404			0044E690	0044E6D3 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			004608B0	004608DD STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			0046B100	0046B12D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			00471AC0	00471AE9 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			004732F0	0047331D STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			004749C0	004749EC STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			0047D080	0047D0AA STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	716	0x2CC	92			004803D0	004803F0 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1108	0x454	1			0044E690	0044E6D5 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1129	0x469	36			0044E690	0044E6FA STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1179	0x49B	64			0044E690	0044E719 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1245	0x4DD	48			0044E690	0044E730 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1293	0x50D	1			0044E690	0044E734 STOSB ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1296	0x510	28			0044E690	0044E742 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1324	0x52C	40			0044E690	0044E74F STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1416	0x588	24			0044E690	0044E75C STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1440	0x5A0	40			0044E690	0044E769 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1440	0x5A0	40			004749C0	004749FB STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
0	zero_span	STBoatC	/STBoatC	1532	0x5FC	28			0044E690	0044E7B1 STOSD.REP ES:EDI	evidence	exact zero-init boundary; an independent indexed stride or typed copy is required before replacing fields
