issue_id	function_address	function_name	occurrence	decompiler_line	classification	reason	compiler_blocker	abi_blocker	excerpt
00405687/raw_pointer_offset/aba14dba4882/1	00405687	FUN_00405687	1	8	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	switch(*(undefined4 *)(param_1 + 0x4a2)) {
0040EB90/raw_pointer_offset/016783bf3dc9/1	0040EB90	FUN_0040eb90	3	220	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	*(int *)(PTR_007f4d00[local_48 * 3 + 2] + 0x14) = piVar6[1];
0040EB90/raw_pointer_offset/6dd16a60c5e4/1	0040EB90	FUN_0040eb90	2	219	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	*(int *)(PTR_007f4d00[local_48 * 3 + 2] + 0x10) = *piVar6;
0040EB90/raw_pointer_offset/f60bb56fa668/1	0040EB90	FUN_0040eb90	1	217	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	*(int *)(PTR_007f4d00[local_48 * 3 + 2] + 0xc) =
00413AF0/raw_pointer_offset/29e6d1284258/1	00413AF0	FUN_00413af0	4	227	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)((int)param_1->field_0059 + iVar15 * 0x10 + 0x14);
00413AF0/raw_pointer_offset/b150a297bb75/1	00413AF0	FUN_00413af0	3	222	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)((int)param_1->field_0059 + iVar15 * 0x10 + 0xc);
00413AF0/raw_pointer_offset/ca89f35c4eed/1	00413AF0	FUN_00413af0	2	217	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)((int)param_1->field_0059 + iVar15 * 0x10 + 0x14);
00413AF0/raw_pointer_offset/ce69e6287bcb/1	00413AF0	FUN_00413af0	1	212	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)((int)param_1->field_0059 + iVar15 * 0x10 + 0xc);
00419BF0/raw_pointer_offset/c213f20614b3/1	00419BF0	FUN_00419bf0	1	11	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	iVar1 = (**(code **)(*param_1 + 0x1c))();
0041ABC0/raw_pointer_offset/a01a35d231af/1	0041ABC0	FUN_0041abc0	2	11	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[1] + 0xc) = 0;
0041ABC0/raw_pointer_offset/d5a5bd15a6bd/1	0041ABC0	FUN_0041abc0	1	8	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*param_1 + 0xc) = 0;
0041ABF0/raw_pointer_offset/74b74543c5bf/1	0041ABF0	FUN_0041abf0	3	14	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[2] + 0xc) = 0;
0041ABF0/raw_pointer_offset/a01a35d231af/1	0041ABF0	FUN_0041abf0	2	11	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[1] + 0xc) = 0;
0041ABF0/raw_pointer_offset/d5a5bd15a6bd/1	0041ABF0	FUN_0041abf0	1	8	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*param_1 + 0xc) = 0;
0041ABF0/raw_pointer_offset/dc2acac0f695/1	0041ABF0	FUN_0041abf0	4	17	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[3] + 0xc) = 0;
0041AC40/raw_pointer_offset/74b74543c5bf/1	0041AC40	FUN_0041ac40	3	14	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[2] + 0xc) = 0;
0041AC40/raw_pointer_offset/a01a35d231af/1	0041AC40	FUN_0041ac40	2	11	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[1] + 0xc) = 0;
0041AC40/raw_pointer_offset/d5a5bd15a6bd/1	0041AC40	FUN_0041ac40	1	8	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*param_1 + 0xc) = 0;
0041AC40/raw_pointer_offset/dc2acac0f695/1	0041AC40	FUN_0041ac40	4	17	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[3] + 0xc) = 0;
0041AC40/raw_pointer_offset/ea6e9f84c897/1	0041AC40	FUN_0041ac40	5	20	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(param_1[4] + 0xc) = 0;
0041AD20/raw_pointer_offset/d5a5bd15a6bd/1	0041AD20	FUN_0041ad20	1	8	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*param_1 + 0xc) = 0;
0041AE80/raw_pointer_offset/9632b90382fb/1	0041AE80	FUN_0041ae80	1	8	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	return *(undefined4 *)(param_1 + 0x24);
0041D8E0/raw_pointer_offset/6ad29399c366/1	0041D8E0	FUN_0041d8e0	1	10	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	(**(code **)(*param_1 + 0x2c))();
0041DA10/raw_pointer_offset/ffc287439448/1	0041DA10	FUN_0041da10	1	8	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	return *(undefined4 *)(param_1 + 0x219);
0041E510/raw_pointer_offset/1ebf3277f839/1	0041E510	FUN_0041e510	1	8	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	return *(undefined4 *)(param_1 + 0x21d);
0041F310/raw_pointer_offset/bb5f17d34da9/1	0041F310	FUN_0041f310	1	8	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	return ~*(uint *)(param_1 + 0x1d1) >> 1 & 1;
0041F630/raw_pointer_offset/8f48d64c4abd/1	0041F630	FUN_0041f630	1	71	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	uVar4 = (**(code **)(param_1->field_0000 + 0x2c))();
0041F630/raw_pointer_offset/8f48d64c4abd/2	0041F630	FUN_0041f630	2	104	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	uVar4 = (**(code **)(param_1->field_0000 + 0x2c))();
004210E0/raw_pointer_offset/6c0fe96f148d/1	004210E0	STAllPlayersC::SaveGObjData	1	429	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(&local_18[1].field_0xa + iVar19 + -0x281) = *(undefined4 *)puVar9;
004210E0/raw_pointer_offset/8a182d4f161b/1	004210E0	STAllPlayersC::SaveGObjData	2	430	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(ushort *)((int)(&local_18[1].field_0xa + iVar19 + -0x281) + 4) = puVar9[2];
004210E0/raw_pointer_offset/ac425c029663/1	004210E0	STAllPlayersC::SaveGObjData	3	434	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(undefined4 *)(&local_18[1].field_0x10 + iVar19 + -0x281) = *(undefined4 *)puVar9;
004210E0/raw_pointer_offset/bf21f7733405/1	004210E0	STAllPlayersC::SaveGObjData	4	435	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(ushort *)((int)(&local_18[1].field_0x10 + iVar19 + -0x281) + 4) = puVar9[2];
00424E10/raw_pointer_offset/0467ca7dfc60/1	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	2	554	array_or_pointer_walk	indexed or induction-variable addressing proves a walk, but not one fixed member or a unique public element type	0	0	*(int *)(&stack0xfffffe9c + iVar23) = local_44 * 8 + 0x50;
00424E10/raw_pointer_offset/1647338b3eaf/1	00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	1	504	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	*(int *)(&stack0xfffffe9c + iVar23) = (local_9c * 3 + 0x1e) * 4;
00427090/raw_pointer_offset/33ab9d36fc8d/1	00427090	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::sub_00427090	2	165	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if (*(int *)(local_c + -0xc + (int)pRVar10) < iVar8) {
00427090/raw_pointer_offset/718468fc563f/1	00427090	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::sub_00427090	1	157	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if ((iVar8 < *(int *)(local_c + -0xc + (int)pRVar10)) && (param_2 != iVar11)) {
0042D770/raw_pointer_offset/9b9d06a29424/1	0042D770	FUN_0042d770	1	107	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	if ((uint)uVar3 == *(uint *)(*param_3 + 0xc)) {
00430A90/raw_pointer_offset/0aa903a00e6f/1	00430A90	STAllPlayersC::GetMessage	1	424	intentional_byte_cursor	the value is traversed as byte storage; semantic element identity is not independently proven	0	0	sub_004D8B70(this_00,*(char *)(this_00->field_0010 + 0x112d));
0043AE40/raw_pointer_offset/af079fd4c168/1	0043AE40	STAllPlayersC::SetActivePanel	1	121	packed_unaligned_or_union_view	the exact access is misaligned for its width; preserve the packed/unaligned per-use view until a complete union partition is proven	0	0	iVar2 = *(int *)(param_2 * 0x10 + 0x7f4f83 + iVar6);
0043BEB0/raw_pointer_offset/42d047275466/1	0043BEB0	STAllPlayersC::GetPanelInfo	10	936	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0x10 + 0xc) = 0;
0043BEB0/raw_pointer_offset/7e57ee55e58c/1	0043BEB0	STAllPlayersC::GetPanelInfo	5	891	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0xc + 0xc) = 0;
0043BEB0/raw_pointer_offset/7e57ee55e58c/2	0043BEB0	STAllPlayersC::GetPanelInfo	9	935	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)&param_2->field_0xc + 0xc) = 0;
0043BEB0/raw_pointer_offset/8d2cd58fa674/1	0043BEB0	STAllPlayersC::GetPanelInfo	1	847	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)param_2 + 0xc) = 0;
0043BEB0/raw_pointer_offset/8d2cd58fa674/2	0043BEB0	STAllPlayersC::GetPanelInfo	2	888	insufficient_independent_evidence	a fixed offset is visible, but no unique owner, complete compatible layout, and independent typed boundary jointly prove a field	0	0	*(undefined4 *)(*(int *)param_2 + 0xc) = 0;
