apply	shape_id	offset	size	proposed_name	proposed_type	evidence_count	reason
1	AnonNested_004C5980_05FB_38F047AC	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_004C5980_05FB_38F047AC	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004C5980_05FB_38F047AC	8	4	field_0008	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004C5980_05FB_38F047AC	12	4	field_000C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004C5980_05FB_38F047AC	16	4	field_0010	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_004C5980_05FB_38F047AC	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_004C9430_0607_7C13AC95	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=2}; exact_widths={}; semantic_roles={}
1	AnonNested_004C9430_0607_7C13AC95	16	4	field_0010	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004E9960_061B_217F6F13	1456	4	field_05B0	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004E9960_061B_217F6F13	1460	4	field_05B4	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_004E9960_061B_217F6F13	1464	4	field_05B8	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0054EAB0_0065_6333AF5F	0	4	field_0000	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=2}; exact_widths={}; semantic_roles={}
1	AnonNested_0054EAB0_0065_6333AF5F	4	4	field_0004	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0054EAB0_0065_6333AF5F	8	4	field_0008	/undefined4	1	dereference through parent pointer field; observed_types={/undefined4=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0054EB20_0065_4A00EB9C	0	4	field_0000	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_0054EB20_0065_4A00EB9C	4	4	field_0004	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	20	4	field_0014	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	24	4	field_0018	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	50	2	field_0032	/short	1	dereference through parent pointer field; observed_types={/short=2}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	52	4	field_0034	/int	1	dereference through parent pointer field; observed_types={/int=3}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	56	4	field_0038	/int	2	dereference through parent pointer field; observed_types={/int=3}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	60	4	field_003C	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	64	4	field_0040	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
1	AnonNested_005F9CB0_02E6_32192ADE	68	4	field_0044	/int	1	dereference through parent pointer field; observed_types={/int=1}; exact_widths={}; semantic_roles={}
